type,category,vacancy_type,vacancy,lastupdate,time of api
P,HOURLY,A,35,2021-03-12 14:57:04,2021-03-12 15:00:00+00:00
P,HOURLY,A,29,2021-03-12 15:11:03,2021-03-12 15:15:00+00:00
P,HOURLY,A,42,2021-03-12 15:27:04,2021-03-12 15:30:00+00:00
P,HOURLY,A,33,2021-03-12 15:41:03,2021-03-12 15:45:00+00:00
P,HOURLY,A,36,2021-03-12 15:57:03,2021-03-12 16:00:00+00:00
P,HOURLY,A,29,2021-03-12 16:13:03,2021-03-12 16:15:00+00:00
P,HOURLY,A,27,2021-03-12 16:27:04,2021-03-12 16:30:00+00:00
P,HOURLY,A,35,2021-03-12 16:41:03,2021-03-12 16:45:00+00:00
P,HOURLY,A,44,2021-03-12 16:57:03,2021-03-12 17:00:00+00:00
P,HOURLY,A,49,2021-03-12 17:13:04,2021-03-12 17:15:00+00:00
P,HOURLY,A,64,2021-03-12 17:27:03,2021-03-12 17:30:00+00:00
P,HOURLY,A,65,2021-03-12 17:41:03,2021-03-12 17:45:00+00:00
P,HOURLY,A,76,2021-03-12 17:57:04,2021-03-12 18:00:00+00:00
P,HOURLY,A,71,2021-03-12 18:11:03,2021-03-12 18:15:00+00:00
P,HOURLY,A,66,2021-03-12 18:27:03,2021-03-12 18:30:00+00:00
P,HOURLY,A,57,2021-03-12 18:43:04,2021-03-12 18:45:00+00:00
P,HOURLY,A,45,2021-03-12 18:57:03,2021-03-12 19:00:00+00:00
P,HOURLY,A,42,2021-03-12 19:11:03,2021-03-12 19:15:00+00:00
P,HOURLY,A,29,2021-03-12 19:27:04,2021-03-12 19:30:00+00:00
P,HOURLY,A,16,2021-03-12 19:43:04,2021-03-12 19:45:00+00:00
P,HOURLY,A,18,2021-03-12 19:57:03,2021-03-12 20:00:00+00:00
